latitude,longitude,pointValue
38.34688,-122.51518,99.9
37.88661,-121.28237,99.9
38.12144,-121.28619,99.9
37.74427,-121.4346,99.8
38.46452,-121.41711,100.0
38.44177,-122.70159,99.9
38.47138,-122.72586,100.0
38.6814,-121.15918,100.0
37.31221,-120.4781,100.0
37.69227,-121.88095,87.9
37.78249,-122.44306,99.9
37.36903,-122.08028,92.0
37.7761,-121.95892,97.4
37.70817,-122.11985,86.6
36.20669,-121.13245,100.0
37.3113,-121.91503,92.2
37.78959,-122.41674,97.0
37.66862,-120.97453,99.9
37.62533,-121.76283,98.7
37.29381,-120.4734,100.0
38.3972,-122.81915,100.0
38.11854,-122.24892,89.2
38.56248,-121.77156,100.0
37.82448,-122.25773,89.0
36.92723,-121.79311,99.9
37.03653,-121.57152,94.7
37.79826,-121.2462,99.9
38.54221,-122.47514,100.0
37.63062,-122.09502,87.1
37.83716,-122.26706,89.4
37.85618,-122.2573,95.6
37.79884,-122.23093,93.6
37.79066,-122.2222,88.7
38.26972,-121.96382,99.9
38.35591,-121.95173,99.9
37.51153,-120.83867,99.9
38.47025,-121.42259,100.0
38.46355,-121.41647,100.0
38.57189,-121.46925,100.0
38.57011,-121.45246,100.0
38.55508,-121.45646,100.0
38.55291,-121.4555,100.0
38.44325,-122.70104,99.9
38.13116,-122.23739,99.9
37.66494,-120.99743,99.9
37.64342,-120.99065,99.9
37.666,-120.92179,99.9
38.66428,-121.79301,100.0
37.75761,-120.86094,99.9
37.66399,-120.95813,99.9
38.28817,-122.4652,99.9
38.25473,-122.63168,99.9
38.44139,-122.66301,100.0
37.97657,-121.29114,99.9
38.32371,-122.29648,99.9
38.12683,-122.24721,99.2
38.57134,-121.43894,100.0
38.54994,-121.41458,100.0
38.60255,-121.39258,100.0
38.64407,-121.3643,100.0
38.66833,-121.3127,100.0
38.67033,-121.14587,100.0
38.57266,-121.29672,100.0
36.65888,-121.64606,99.9
38.27883,-122.27342,99.9
37.0641,-120.85915,99.9
36.98703,-120.62951,99.9
38.46856,-122.70811,100.0
38.45039,-122.77181,99.9
38.62701,-122.86429,100.0
37.78464,-122.43938,97.0
37.77384,-122.45412,99.8
37.86398,-122.26956,94.6
36.98935,-121.98438,99.9
36.98775,-121.97781,99.9
36.69633,-121.63066,99.9
37.79543,-122.40914,78.1
37.82108,-122.26324,95.6
37.69991,-122.08812,91.1
37.69832,-122.08769,91.1
37.70945,-122.12146,86.6
37.71082,-122.1206,96.2
37.71602,-122.13081,95.8
37.67889,-122.10399,85.3
37.4076,-121.93488,74.7
38.00448,-122.55436,99.9
37.95864,-122.55209,89.2
37.94738,-122.53592,86.0
38.26161,-122.04755,99.9
37.32789,-121.93799,92.1
37.96166,-121.30103,99.9
37.97041,-121.28835,99.9
37.80137,-121.19782,99.9
37.63373,-122.08924,86.6
38.33301,-121.97979,99.9
36.83479,-121.38631,99.9
37.95372,-122.33729,87.1
37.25137,-121.94683,99.2
37.26222,-121.96986,99.2
37.55751,-121.98065,88.7
37.31284,-121.93217,92.1
37.33995,-121.9779,92.1
37.23954,-121.80049,92.3
37.46178,-122.15929,92.1
37.40322,-122.14183,99.8
37.98255,-121.8052,97.0
37.98421,-122.03469,99.1
37.54663,-121.97951,93.3
37.55184,-121.97712,93.6
37.76309,-122.2542,99.3
37.53133,-122.29936,99.6
37.78656,-122.4546,97.0
37.78654,-122.45611,97.0
37.79138,-122.43125,99.9
37.5914,-122.38394,99.8
37.48934,-122.22471,74.7
37.27291,-121.99621,98.2
37.43659,-122.17474,92.1
37.67984,-122.47443,99.9
37.52627,-122.50726,99.9
36.97438,-121.99529,99.9
37.74781,-122.42066,99.9
36.57962,-121.91513,100.0
37.47373,-122.28598,83.8
37.93711,-122.36088,89.0
38.0993,-122.56022,94.6
37.36257,-121.84891,89.8
37.47987,-122.25459,99.8
37.65907,-122.4391,99.9
37.9133,-122.04125,99.3
37.89165,-122.05873,78.8
38.00668,-122.13276,99.9
37.76294,-122.45825,96.9
37.7684,-122.43428,99.9
37.75548,-122.40444,99.9
37.74772,-122.4567,99.9
37.78231,-122.50507,99.9
37.7142,-122.14182,86.2
37.46463,-122.15788,92.0
37.43303,-122.17742,92.1
37.24469,-121.94799,99.2
37.56511,-122.32627,92.2
