latitude,longitude,pointValue
37.774619,-122.224314,81.9
38.563855,-121.353577,99.9
38.567585,-121.345942,99.9
38.559683,-121.361846,99.9
38.553337,-121.374458,99.9
37.74861,-122.4596,97.0
37.743245,-122.471368,97.0
37.743155,-122.47354,97.0
37.721976,-122.447401,98.6
37.718379,-122.448624,98.6
37.716205,-122.450366,98.6
37.742223,-122.494391,97.0
37.742062,-122.49817,97.0
37.741969,-122.500355,97.0
37.779867,-122.389549,91.6
37.776881,-122.394853,91.6
37.776435,-122.39431,91.6
37.768999,-122.397753,91.6
37.927731,-122.056834,86.3
37.972011,-122.029848,95.0
37.925646,-122.317206,66.9
38.002571,-122.025093,95.0
37.130752,-121.651718,95.0
37.085078,-121.609905,97.1
37.955763,-121.27743,99.5
37.898914,-121.270258,99.5
37.443143,-122.164354,92.2
37.43836,-122.156275,92.2
37.684576,-122.467356,97.1
37.696282,-121.435177,98.6
38.018929,-121.941891,97.1
38.585516,-121.488229,99.9
38.577943,-121.498843,99.9
38.577552,-121.49756,99.9
38.575477,-121.499056,99.9
38.575204,-121.497967,99.9
38.574114,-121.494017,99.9
38.579972,-121.497258,99.9
38.579714,-121.49626,99.9
38.579025,-121.493692,99.9
38.578651,-121.492298,99.9
38.581702,-121.489866,99.9
38.571026,-121.493617,99.9
38.569876,-121.489367,99.9
38.566514,-121.479117,99.9
38.56433,-121.470858,99.9
38.56075,-121.457278,99.9
38.558388,-121.448446,99.9
38.555076,-121.435857,99.9
38.552468,-121.426606,99.9
38.547579,-121.408006,99.9
38.546985,-121.395187,99.9
38.621656,-121.424368,99.9
38.607286,-121.439888,99.9
38.606227,-121.455827,99.9
38.606093,-121.446795,99.9
38.603082,-121.465206,99.9
38.645512,-121.382995,99.9
38.643308,-121.393776,99.9
38.6374,-121.404636,99.9
38.584964,-121.310436,99.9
37.351157,-121.90178,85.5
37.345176,-121.89727,88.9
37.33666,-121.889493,92.2
37.336086,-121.89055,92.2
37.333416,-121.887069,92.2
37.332927,-121.888173,92.2
37.33149,-121.887092,92.2
37.319866,-121.890164,92.2
37.690725,-122.077447,51.8
37.697827,-122.127846,63.5
37.688957,-122.114963,60.7
37.68445,-121.769648,81.9
37.696898,-121.718546,88.9
37.003779,-121.566268,92.2
37.78913,-122.4086,97.1
37.779601,-122.413838,97.0
37.778643,-122.414726,97.0
37.777403,-122.416281,97.0
37.775373,-122.419095,95.3
37.784615,-122.407734,97.1
37.780421,-122.412484,95.3
37.790367,-122.422287,97.0
37.785691,-122.405827,97.0
37.784727,-122.406718,97.1
37.783941,-122.407979,97.1
37.782146,-122.410305,95.3
37.779316,-122.413588,97.0
37.878356,-122.183778,79.7
37.844179,-122.252718,85.5
37.833217,-122.266193,85.5
37.828404,-122.267174,85.5
37.874021,-122.283869,82.9
37.869863,-122.268038,82.9
37.851903,-122.270206,86.3
37.338603,-121.89245,92.2
37.328038,-121.893872,92.2
37.310039,-121.883357,92.2
37.283984,-121.841889,90.6
37.403501,-121.9886,83.2
37.266343,-121.859189,94.9
37.250819,-121.837006,94.2
37.587832,-122.363244,94.9
37.342648,-121.91529,88.9
37.330268,-121.903118,92.2
37.464622,-122.197821,88.9
37.808628,-122.412371,95.3
37.808337,-122.409639,95.3
37.80824,-122.415616,95.3
37.808114,-122.408873,95.3
37.8079,-122.410595,95.3
37.807508,-122.413743,95.3
37.807072,-122.417253,95.3
37.806753,-122.405767,95.3
37.805434,-122.41519,95.3
37.805192,-122.403279,95.3
37.799162,-122.419043,97.1
37.791006,-122.417287,97.0
37.792043,-122.409178,97.1
37.769631,-122.426249,97.1
37.76946,-122.429154,97.1
37.793206,-122.396306,95.3
37.79279,-122.396565,95.3
37.791017,-122.399068,95.3
37.789124,-122.401228,97.0
37.788939,-122.401716,97.0
37.767513,-122.428751,95.3
37.764412,-122.428664,95.3
37.764176,-122.433036,97.1
37.756422,-122.426945,97.1
37.754766,-122.427742,97.1
37.751542,-122.427429,97.1
37.746896,-122.426978,97.1
37.743709,-122.426669,97.1
37.742247,-122.424115,97.1
37.757612,-122.392323,91.6
37.732531,-122.433464,97.1
37.728892,-122.440127,97.1
37.725799,-122.442397,97.1
37.722962,-122.444766,98.6
37.765458,-122.452763,97.1
37.765241,-122.454427,97.0
37.764908,-122.456779,97.0
37.764333,-122.459731,97.0
37.764272,-122.461047,97.0
37.761977,-122.470506,97.0
37.761882,-122.472651,97.0
37.761692,-122.476952,97.0
37.741507,-122.468543,97.1
37.741348,-122.471219,97.0
37.741155,-122.465429,97.1
37.737956,-122.469047,97.1
37.734994,-122.471545,97.1
37.714346,-122.463538,97.1
37.7143,-122.467076,97.1
37.714264,-122.469762,97.1
37.713153,-122.462544,97.1
37.761282,-122.486698,97.0
37.761151,-122.48984,97.0
37.761013,-122.493112,97.0
37.726933,-122.474916,97.1
37.720955,-122.475206,97.1
37.803088,-122.271642,88.9
37.80167,-122.272502,88.9
37.799995,-122.271666,88.9
37.799035,-122.274102,88.9
37.80467,-122.294569,88.9
37.807625,-122.268856,88.9
37.797597,-122.265485,85.5
37.754276,-122.197776,67.1
37.634794,-122.057538,57.1
37.413875,-121.91678,85.5
37.402165,-121.939636,87.0
37.394868,-121.934315,87.0
37.38802,-121.929272,83.2
37.382744,-121.925344,85.5
37.375417,-121.919842,85.5
37.427982,-122.139849,92.2
37.244487,-121.870702,91.6
37.253496,-121.867008,91.6
37.670382,-122.087989,55.4
37.591198,-122.017845,66.1
37.55854,-122.007617,70.5
37.557329,-121.976383,70.5
37.310511,-121.88289,92.2
37.404791,-122.050285,90.6
37.403367,-121.99956,83.2
37.402923,-122.010374,87.0
37.408452,-121.961515,80.7
37.406831,-121.966949,83.2
37.403374,-121.97533,83.2
37.403331,-121.980258,83.2
37.394892,-122.07704,92.2
37.580097,-122.344795,92.4
37.568117,-122.323779,87.0
37.552194,-122.30909,94.9
37.507601,-122.259812,92.2
37.807133,-122.421267,95.3
37.794552,-122.418102,97.0
37.775193,-122.419053,95.3
37.7912,-122.389527,95.3
37.784732,-122.38807,91.6
37.770683,-122.424681,97.1
37.752775,-122.418304,97.1
37.7227,-122.397279,95.0
37.764138,-122.464169,97.0
37.764049,-122.466322,97.0
37.762166,-122.466224,97.0
37.762027,-122.469379,97.0
37.731927,-122.473882,97.1
37.731017,-122.471742,97.1
37.730927,-122.474473,97.1
37.72997,-122.469347,97.1
37.728228,-122.467636,97.1
37.727126,-122.466595,97.1
37.726055,-122.464222,97.1
37.717169,-122.472545,97.1
37.761554,-122.480249,97.0
37.761417,-122.483501,97.0
37.7609,-122.495789,97.0
37.760725,-122.4996,97.0
37.339813,-121.893325,88.9
37.339136,-121.89134,92.2
37.330321,-121.889568,92.2
37.412256,-121.927963,75.6
37.410958,-121.941209,87.0
37.409687,-121.953075,80.7
37.409242,-121.944841,80.7
37.407978,-121.943891,87.0
37.355624,-121.941396,88.9
37.353337,-121.936396,88.9
37.39494,-122.052375,92.2
37.247377,-121.829985,94.2
37.706116,-122.469068,97.1
37.520726,-122.275593,94.9
37.485745,-122.231321,90.6
37.454724,-122.182189,92.2
37.795143,-122.393906,95.3
