latitude,longitude,pointValue
38.019733,-122.136353,91.6
37.307041,-120.475891,99.9
37.666859,-122.097786,63.5
37.867603,-122.299995,89.5
37.840679,-122.29068,87.0
38.243465,-122.039543,99.4
38.58403,-121.49955,99.9
37.530312,-120.798798,99.9
37.956668,-121.278989,99.5
37.946011,-121.284271,99.5
38.018085,-121.815132,96.8
37.66814,-120.911598,99.9
38.544113,-121.737068,99.9
38.13354,-121.271594,99.5
37.794647,-122.270744,88.9
37.751881,-122.19774,64.2
37.33107,-121.901207,92.2
37.82307,-122.31121,87.0
37.80946,-122.31917,87.0
37.80172,-122.30774,80.7
37.74179,-122.18292,60.4
38.58101,-121.5164,99.9
37.92024,-122.38609,86.4
37.63673,-120.91469,99.9
37.94741,-121.26065,99.5
37.85572,-121.27013,99.5
37.80818,-122.30743,80.7
38.69875,-121.75897,99.9
37.7459,-122.18777,66.9
37.63407,-120.91138,99.9
38.69195,-121.77762,99.9
37.72984,-121.12066,99.5
38.08353,-122.24626,91.6
37.79528,-122.30456,80.7
37.80135,-122.3075,80.7
37.91135,-122.36675,86.4
37.94536,-121.32204,99.5
37.904,-121.27242,99.5
37.77955,-122.23558,81.9
37.95074,-122.41675,89.5
37.92124,-122.36599,83.1
38.01689,-121.81385,97.1
37.62773,-120.92027,99.9
37.63129,-120.93765,99.9
38.57378,-121.57764,99.9
37.94527,-121.32338,99.5
37.94513,-121.3257,99.5
37.94527,-121.32338,99.5
37.96045,-121.26393,99.5
37.97396,-121.26728,99.5
37.97067,-121.237,99.5
37.97217,-121.23948,99.5
37.93971,-121.231,99.5
37.29383,-120.37901,99.9
37.33687,-121.90577,92.2
37.80818,-122.30743,80.7
37.95477,-122.35952,66.9
37.558197,-122.006378,70.5
37.37851,-121.946411,88.9
36.679363,-121.656189,99.9
37.936085,-122.35305,74.3
37.31019,-121.86129,90.6
37.49733,-121.95111,73.1
38.236,-122.0469,99.4
37.97193,-122.35534,57.9
