latitude,longitude,pointValue
37.824178,-121.625483,100.0
37.831304,-121.626051,100.0
36.934258,-121.791678,100.0
36.93739,-121.787345,100.0
37.46112,-122.115044,90.0
37.511855,-122.249524,94.0
38.209284,-122.280003,100.0
38.215299,-122.279848,100.0
38.21559,-122.281615,100.0
38.193879,-121.702271,100.0
38.192436,-121.706237,100.0
37.988247,-122.057866,99.1
37.987365,-122.05646,99.1
37.990857,-122.055298,99.1
37.992459,-122.058243,99.1
37.625196,-120.951677,100.0
37.626878,-120.959113,100.0
38.44326,-121.50887,100.0
38.531459,-121.786478,100.0
38.579,-121.856667,100.0
38.673872,-121.872088,100.0
38.253464,-121.942803,100.0
38.271625,-121.912338,100.0
38.377778,-121.961576,100.0
38.392361,-121.330762,100.0
37.756353,-120.800198,100.0
37.081585,-121.596804,100.0
37.893423,-121.236265,100.0
37.895911,-121.243184,100.0
38.202903,-121.268824,100.0
38.201679,-121.267837,100.0
38.067496,-121.207594,100.0
37.690518,-121.442297,100.0
37.687501,-121.440917,100.0
36.891068,-121.408296,100.0
36.894475,-121.41125,100.0
38.511528,-121.495475,100.0
38.514754,-121.49018,100.0
38.511642,-121.493922,100.0
38.69532,-121.580257,100.0
38.695535,-121.601277,100.0
38.674995,-121.445448,100.0
38.667637,-121.4006,100.0
38.486764,-121.102785,100.0
38.557947,-121.296472,100.0
38.553896,-121.297589,100.0
37.727635,-122.213433,87.3
37.725487,-122.215953,87.3
37.710315,-122.227493,87.3
37.735819,-122.221237,87.3
38.257785,-122.605319,100.0
38.776019,-122.992639,100.0
37.380481,-120.568189,100.0
37.284728,-120.513886,100.0
37.062906,-120.869251,100.0
37.693864,-121.820325,91.4
37.692492,-121.820424,98.2
38.509157,-122.816697,100.0
38.508801,-122.809147,100.0
37.333119,-121.819385,99.2
37.332622,-121.820209,99.2
37.417233,-122.04861,98.0
37.414904,-122.049739,98.0
36.661931,-121.608377,100.0
36.662999,-121.605628,100.0
36.664945,-121.60189,100.0
36.586722,-121.839147,100.0
36.587109,-121.844706,100.0
36.681878,-121.762348,100.0
37.618097,-122.376162,96.4
37.361139,-121.931387,97.1
37.363625,-121.927715,97.1
37.36236,-121.929527,97.1
37.660351,-122.122607,96.2
37.658152,-122.121262,96.2
38.143601,-122.556124,99.9
37.617321,-122.37375,96.4
37.621133,-122.375264,96.4
37.618497,-122.374529,96.4
37.513435,-122.501163,100.0
