latitude,longitude,pointValue
37.93167,-122.34667,63.7
37.87889,-122.18389,61.7
37.91667,-122.30833,53.1
37.92167,-122.31167,55.7
37.925,-122.315,58.3
37.93167,-122.335,63.7
37.93167,-122.335,63.7
37.92667,-122.05833,79.9
37.93333,-122.04667,73.0
37.7,-122.13333,53.1
37.68,-122.1,66.5
37.80806,-122.30583,74.8
37.94167,-122.02833,88.8
37.96833,-122.03,98.0
37.66667,-122.08167,43.7
37.77,-122.22,72.0
37.66667,-122.08167,43.7
37.83833,-122.265,84.0
37.80301,-122.29126,72.2
37.625,-122.05,43.8
37.62667,-122.05,37.2
37.635,-122.05667,43.8
37.635,-122.05667,43.8
37.77,-122.21667,71.9
37.77667,-122.22667,74.6
37.82833,-122.26667,85.8
37.82833,-122.26667,85.8
37.82833,-122.26667,85.8
37.82833,-122.26667,85.8
37.76167,-122.20333,56.8
37.65833,-122.075,37.6
37.65833,-122.075,37.6
37.735,-122.17333,23.9
37.65,-122.07,39.6
37.65,-122.07,39.6
37.69167,-122.11833,58.3
37.69167,-122.11833,58.3
37.75,-122.195,48.2
37.88833,-122.29167,66.5
37.88167,-122.28833,74.6
37.84833,-122.27,85.2
37.84,-122.26833,82.0
37.835,-122.265,84.0
37.845,-122.25,84.0
37.84333,-122.25333,84.0
37.84333,-122.25667,84.0
37.84333,-122.25667,84.0
37.84167,-122.26,84.0
37.84,-122.26333,84.0
37.83333,-122.265,84.0
37.83167,-122.265,85.8
37.83,-122.26667,85.8
37.81833,-122.26833,82.0
37.81667,-122.27,82.1
37.81333,-122.27,86.3
37.8,-122.27833,74.8
37.80167,-122.28167,74.8
37.80167,-122.28333,72.2
37.80333,-122.28667,72.2
37.80667,-122.29667,72.2
37.80833,-122.31167,64.6
37.77833,-122.23,72.0
37.775,-122.22333,72.0
37.76667,-122.21167,69.2
37.75667,-122.2,52.0
37.755,-122.19833,44.6
37.75,-122.19167,43.7
37.74667,-122.18833,39.6
37.74,-122.17833,24.9
37.26333,-121.85667,93.2
37.255,-121.85833,94.1
37.29167,-121.87167,89.6
37.29167,-121.87167,89.6
37.9,-122.07,67.6
37.9,-122.07,67.6
37.93,-122.32,58.3
37.93833,-122.35333,66.5
37.93833,-122.35333,66.5
37.91167,-122.065,73.7
37.90167,-122.29667,53.1
37.90333,-122.29833,53.1
37.90833,-122.30333,56.0
37.91167,-122.305,53.1
37.93667,-122.35167,66.5
37.93667,-122.35167,66.5
37.93667,-122.35167,66.5
37.90167,-122.06833,70.6
37.91167,-122.065,73.7
37.70833,-122.14167,43.7
37.56333,-121.98333,77.2
37.71167,-122.14667,35.8
37.59333,-122.01833,67.2
37.66833,-122.08333,45.9
37.66833,-122.08333,45.9
37.55889,-121.98,79.6
37.55889,-121.98,79.6
37.67167,-122.08833,50.6
37.67,-122.08667,50.6
37.68667,-122.11167,61.0
37.89167,-122.29167,67.2
37.72,-122.15833,26.4
37.71833,-122.15667,27.8
37.71667,-122.155,27.8
37.715,-122.15333,29.2
37.28,-121.865,77.9
37.29,-121.87667,89.6
37.305,-121.87833,89.6
37.275,-121.86167,77.9
37.295,-121.87333,89.6
37.295,-121.87333,89.6
37.31,-121.88167,89.6
37.31,-121.88167,89.6
