latitude,longitude,pointValue
37.795732,-122.278944,76.4
37.790768,-122.29836,81.3
37.943633,-122.506967,94.6
37.945526,-122.509201,93.1
37.868808,-122.433536,92.0
37.872901,-122.454883,93.1
38.187638,-121.661464,98.9
38.186768,-121.658096,98.9
38.236396,-121.603224,98.9
37.920576,-121.51476,97.2
37.919268,-121.51676,97.2
38.060208,-121.498216,97.2
38.060288,-121.500896,97.2
38.236416,-121.600816,98.9
38.055008,-121.65748,97.2
38.056812,-121.644672,97.2
38.05836,-121.648712,97.2
37.809608,-122.419242,94.9
37.809648,-122.411952,93.1
37.737589,-122.254912,71.0
37.796052,-122.391936,94.9
37.826324,-122.421077,94.9
38.101488,-122.261816,88.6
37.91164,-122.35708,67.8
37.857416,-122.478112,93.1
