latitude,longitude,pointValue
38.269647,-121.803979,100.0
38.189086,-122.912286,100.0
38.224408,-121.891007,100.0
38.087399,-122.780651,100.0
38.668549,-121.87366,100.0
38.134749,-122.686427,100.0
38.078768,-122.709863,100.0
38.271812,-121.536464,100.0
37.435081,-122.318789,100.0
38.089302,-122.812099,100.0
38.783743,-121.86638,100.0
37.853997,-122.028019,91.6
38.08936,-122.75958,100.0
38.092094,-122.750498,100.0
38.092464,-122.737402,100.0
38.022847,-121.078212,100.0
37.934144,-121.066975,100.0
37.450662,-121.16953,100.0
37.986802,-122.742764,100.0
37.399551,-122.180889,97.1
37.143744,-121.986767,100.0
37.143077,-121.983905,100.0
37.290584,-121.995116,99.6
37.278481,-121.930743,99.8
37.268245,-121.943096,97.5
37.304224,-122.16148,100.0
37.291813,-121.993761,99.6
37.290251,-121.9924,99.6
37.334371,-122.034319,99.9
37.336486,-122.058327,99.9
37.326385,-122.050001,99.9
37.334298,-122.043418,99.9
37.372172,-121.995445,98.8
37.368676,-121.964253,94.1
37.369453,-121.975377,95.9
37.343865,-121.947247,99.6
37.342104,-121.95047,99.6
37.34344,-121.918016,99.1
37.342075,-121.963485,99.6
37.346035,-121.967588,99.6
37.340907,-121.952071,99.6
37.341951,-121.952738,99.6
37.339569,-121.95489,99.6
37.039484,-122.022098,100.0
37.055064,-122.040047,100.0
37.265198,-121.911657,99.9
37.26149,-121.930359,99.9
37.260361,-121.9448,99.9
37.29404,-121.954176,95.5
37.292967,-121.873725,99.6
37.243486,-121.888282,99.9
37.24373,-121.905273,99.9
37.220511,-121.887263,100.0
36.981459,-122.000971,100.0
37.383509,-121.90355,99.8
37.404394,-121.902929,98.8
37.391291,-121.905239,98.9
37.395977,-121.914213,85.7
37.403064,-121.905984,98.8
37.325205,-121.967002,99.6
37.323099,-121.9716,99.6
37.331112,-121.973317,99.6
37.322932,-122.039978,99.9
37.322914,-121.870482,99.6
37.318349,-121.882131,99.6
37.352068,-121.909263,93.4
37.365888,-121.911675,97.9
37.354801,-121.903335,97.9
37.344884,-122.031389,99.9
37.395099,-122.130266,99.9
37.386552,-122.04559,99.6
37.401612,-121.950653,82.2
37.40783,-121.96235,90.1
36.973868,-121.958956,100.0
37.373984,-121.945784,95.7
37.379617,-121.921735,96.0
37.38727,-122.113036,99.9
37.376637,-122.03364,99.3
37.372735,-122.051728,99.6
37.414683,-122.147954,99.8
37.416392,-122.171967,99.9
37.404429,-121.895177,98.8
37.408235,-121.976619,90.8
37.404321,-121.970849,88.9
37.406245,-121.996005,92.1
37.40351,-121.985737,92.1
37.405974,-122.01167,93.4
37.405257,-122.110116,99.8
37.414093,-122.125235,99.7
37.405455,-121.933388,86.2
37.317261,-121.888484,99.6
37.283103,-121.999859,99.7
37.284856,-122.015972,99.9
37.352189,-122.021293,99.9
37.365489,-122.062283,99.6
37.282534,-121.958872,95.7
37.279947,-121.99332,99.8
37.273936,-121.999547,99.9
37.272508,-121.948729,97.1
37.271597,-121.890569,99.7
37.378981,-121.994908,98.8
37.378614,-122.013412,98.8
37.378048,-121.976642,94.1
37.316614,-121.944545,99.6
37.318138,-121.948963,99.6
37.316446,-121.951974,99.6
37.314806,-121.948897,99.6
37.31656,-121.946865,99.6
37.304597,-121.962949,91.5
37.330013,-121.895621,99.6
37.382322,-121.964028,94.1
37.380682,-121.96334,94.1
37.37371,-121.942248,94.1
37.382882,-121.932654,85.0
37.377659,-121.94549,97.3
37.375338,-121.94136,94.1
37.378085,-121.939679,90.1
37.38587,-122.061699,99.6
37.388049,-122.067717,99.6
37.392096,-121.900042,98.5
37.380458,-121.985765,95.7
37.38259,-122.069992,99.6
37.407763,-121.877065,97.9
37.406114,-121.885461,98.2
37.397927,-121.872401,97.9
37.397022,-121.873682,97.9
37.401834,-121.875276,97.9
37.035784,-122.225135,100.0
36.968435,-122.113803,100.0
