latitude,longitude,pointValue
37.63753,-120.9963,99.9
37.58652,-120.98931,99.8
37.69138,-120.95832,99.9
37.38326,-121.91123,72.8
37.96699,-122.07061,98.1
37.52943,-121.91585,80.6
37.63796,-120.89897,99.9
37.64193,-120.76065,99.9
37.81912,-120.67091,99.9
37.68848,-121.05016,99.9
38.33042,-122.4892,99.9
37.80857,-121.27575,99.4
37.69642,-121.88695,79.4
38.50173,-122.75227,99.9
38.52112,-121.47104,99.9
38.63201,-121.43042,99.9
38.63709,-121.32839,99.9
38.58781,-121.26152,99.9
37.8014,-122.26286,85.8
37.42145,-120.85029,99.9
37.32378,-120.54062,99.9
37.29573,-120.32093,99.9
37.09806,-121.01612,99.9
38.55,-122.81483,99.9
37.78404,-122.40746,99.1
38.35026,-122.72084,99.9
37.77525,-122.40405,77.2
37.76783,-122.17474,77.6
37.69166,-122.07554,69.3
37.69315,-122.07361,69.3
37.92424,-122.51117,77.6
37.39179,-121.07097,99.7
37.52697,-120.79485,99.9
37.0731,-121.59019,89.0
37.00448,-121.55579,79.3
38.16157,-122.25977,99.6
37.97862,-122.32676,66.2
38.01559,-121.94472,99.3
37.94929,-121.35282,99.6
38.51078,-121.43845,99.9
37.75344,-121.90992,69.9
37.25235,-121.86312,93.6
38.25178,-122.04381,99.6
37.59757,-120.86509,99.9
38.54057,-121.75769,99.9
38.6624,-121.73885,99.9
38.52151,-121.97088,99.9
37.88288,-121.29719,99.8
38.1616,-121.61269,99.4
36.60376,-121.8536,99.9
36.85238,-121.40496,99.8
36.90893,-121.75405,99.8
37.77883,-122.41867,96.4
37.68612,-122.40286,77.7
37.61499,-122.48552,99.6
37.72597,-122.48145,99.1
37.79761,-122.2661,86.4
37.83676,-122.30385,98.1
37.65784,-122.09695,75.2
37.97423,-122.56247,94.1
37.96269,-122.55618,94.1
37.93842,-122.5306,85.7
38.57453,-121.30593,99.9
36.20487,-121.13428,100.0
37.34256,-120.61543,99.9
38.28023,-122.3011,99.8
37.05725,-120.86154,99.9
37.96694,-121.29057,99.6
38.33896,-122.67856,99.9
37.63754,-120.9963,99.9
38.56888,-121.55048,99.9
38.66056,-121.73531,99.9
38.26738,-122.63594,99.9
38.00549,-121.86302,99.1
38.57178,-121.49488,99.9
36.65516,-121.80435,99.9
37.7766,-122.45041,98.5
37.32076,-122.04555,97.4
37.92548,-122.35837,86.4
38.07675,-122.58254,99.9
38.25878,-122.06605,99.7
38.4091,-121.27008,99.9
38.41714,-121.39588,99.9
37.07338,-121.60633,99.7
38.52167,-121.49909,99.9
37.91619,-122.31147,83.7
37.99674,-121.71373,96.4
38.67039,-121.72988,99.9
37.71046,-121.06899,99.9
37.70626,-121.08408,99.9
37.99296,-121.2503,99.6
37.75461,-121.43193,98.8
38.24141,-121.51289,99.8
37.99674,-122.07368,98.5
38.14566,-122.23505,99.5
38.49862,-121.43978,99.9
38.67638,-121.39254,99.9
38.7034,-121.38428,99.9
38.65918,-121.36022,99.9
38.66673,-121.33523,99.9
37.78361,-122.4129,96.2
37.78016,-122.43239,96.2
37.77563,-122.41972,96.4
37.78002,-122.46443,96.2
37.88935,-122.12898,86.4
37.82487,-122.26628,85.8
37.29577,-122.03305,97.8
36.65546,-121.63581,99.9
37.59238,-120.95485,99.9
38.35123,-121.9944,99.9
38.58627,-121.52752,99.9
37.95117,-121.29007,99.6
38.0161,-121.82032,99.1
38.55158,-121.71917,99.9
38.67513,-121.76773,99.9
38.44518,-121.82411,99.9
38.29683,-122.29011,99.8
38.0199,-121.89148,99.1
38.01917,-122.13355,82.9
36.61387,-121.85006,99.9
36.68254,-121.80326,99.9
36.59419,-121.83731,99.9
36.96743,-122.02725,99.8
37.35513,-121.90592,87.4
38.57852,-122.57962,99.9
36.50786,-121.44379,99.9
36.4282,-121.3275,100.0
36.21079,-121.12733,100.0
38.50632,-122.47139,99.9
36.98517,-120.62809,99.9
37.67489,-121.75509,86.4
36.97836,-122.02121,99.7
37.04968,-122.01887,99.7
36.97467,-121.95324,99.8
36.70152,-121.63218,99.9
37.46319,-122.19783,87.9
37.77518,-122.40414,77.2
37.7279,-122.15868,78.7
37.82447,-122.2324,90.4
37.96204,-122.06907,78.5
37.94242,-121.93728,98.8
38.01017,-122.26626,94.6
37.90622,-122.27869,92.4
37.95985,-122.34117,76.2
37.93674,-122.34279,84.5
37.52814,-120.85744,99.9
38.32304,-122.70927,99.9
38.014,-122.13538,82.9
38.47522,-121.42083,99.9
38.5951,-121.43444,99.9
38.63754,-121.43489,99.9
37.79939,-122.27505,86.9
38.80628,-123.01752,100.0
37.86076,-122.12782,96.0
37.8702,-122.27327,91.0
37.76707,-122.24299,85.8
38.45668,-122.7254,99.9
38.46811,-122.7228,99.9
38.23664,-122.12339,99.7
37.30016,-121.76274,96.8
38.51993,-121.39937,99.9
36.97956,-122.05349,99.8
37.33336,-121.88022,91.0
37.26338,-122.01125,98.2
37.78017,-122.23537,84.5
37.94597,-121.32241,99.6
38.55495,-121.45643,99.9
38.54006,-121.48969,99.9
37.99342,-121.31412,99.8
37.89106,-121.24163,99.8
36.6191,-121.91894,99.9
38.57826,-121.50122,99.9
38.55759,-121.41984,99.9
38.63937,-121.49082,99.9
37.34932,-121.90564,87.4
36.32164,-121.24442,100.0
38.27274,-122.27583,99.8
37.33647,-120.4765,99.9
37.3072,-120.48377,99.9
37.80772,-122.41533,77.2
37.77714,-122.40219,77.2
37.77326,-122.40737,77.4
37.77901,-121.96916,82.4
37.83001,-122.00317,93.0
37.88304,-122.18331,96.0
37.95615,-122.54757,99.3
38.21957,-122.26855,99.7
37.86955,-122.25875,91.9
37.39562,-122.08136,89.1
37.95395,-122.5491,88.6
38.59186,-121.27687,99.9
38.41724,-121.39472,99.9
37.55609,-120.91503,99.9
37.47067,-121.13146,99.7
37.96565,-122.2817,87.4
37.92566,-122.31724,83.2
37.73641,-120.93611,99.9
37.76181,-121.41408,99.2
37.7592,-121.46196,98.4
38.08554,-122.20265,96.7
36.84138,-121.53435,99.9
38.58484,-121.49552,99.9
38.57602,-121.49719,99.9
38.56879,-121.47031,99.9
38.61775,-121.40308,99.9
38.67892,-121.29856,99.9
38.67851,-121.209,99.9
38.50109,-122.99828,99.9
36.20334,-121.13477,100.0
37.38334,-120.61315,99.9
38.44007,-122.35197,99.9
37.32372,-120.48757,99.9
37.15973,-120.29881,99.9
37.0615,-120.84992,99.9
37.7751,-122.40424,77.2
37.97407,-122.02837,97.8
38.08288,-122.23853,99.1
38.24755,-122.04018,99.6
37.31696,-121.02292,99.8
37.50159,-120.84602,99.9
38.26496,-121.30585,99.9
37.1175,-121.63932,99.6
38.34976,-122.70326,99.9
38.44051,-122.70339,99.9
38.16971,-121.68893,93.9
37.63754,-120.99629,99.9
37.63133,-120.97436,99.9
37.76778,-120.8496,99.9
38.29779,-122.45834,99.9
38.24556,-122.64528,99.9
38.13577,-121.2754,99.9
37.7941,-120.99123,99.9
37.74097,-121.13582,99.8
37.79945,-121.23144,99.6
37.73879,-121.41892,99.2
37.44422,-122.15967,90.2
38.23828,-122.03696,99.6
36.89249,-121.39398,99.6
38.68094,-121.16512,99.9
38.63315,-121.22493,99.9
37.38492,-120.72267,99.9
37.36017,-120.60049,99.9
37.30738,-120.48225,99.9
37.25647,-121.00214,99.8
37.06095,-120.85003,99.9
38.40517,-122.8222,99.9
38.60945,-122.86887,99.9
37.00524,-121.57169,97.7
37.38164,-122.1138,97.4
37.97052,-122.03186,97.4
37.99755,-122.52947,99.5
37.97482,-122.53201,99.1
37.98493,-122.59135,99.8
37.87478,-122.46643,99.1
37.88131,-122.46543,77.2
37.89634,-122.52224,85.7
37.29473,-120.48675,99.9
37.4002,-121.93876,72.8
37.38377,-122.13865,98.8
37.79862,-122.4099,99.1
37.72983,-122.39775,98.1
37.7247,-122.4463,99.4
37.90495,-122.06697,95.3
38.06805,-122.8082,99.9
37.39236,-121.98141,77.7
37.30877,-121.96633,90.6
37.31523,-121.92567,90.2
37.42642,-121.97673,72.0
37.48825,-122.22991,78.1
37.70445,-121.91785,80.5
37.55086,-122.30551,73.6
37.88734,-122.29839,85.8
37.33942,-121.84316,88.3
37.96993,-122.33847,73.9
37.37048,-122.04013,89.1
37.50424,-122.26254,93.3
37.45382,-122.17748,90.6
37.51824,-122.27651,92.9
37.49354,-122.22107,73.2
37.4643,-122.43251,88.4
37.47231,-122.13991,87.4
36.59663,-121.8977,99.9
37.67663,-122.45887,99.1
37.59517,-122.38208,82.6
37.63777,-122.41628,98.5
37.57804,-122.3559,97.6
37.55932,-122.2702,72.8
37.65723,-121.87975,76.2
37.2884,-121.94415,91.0
37.6928,-122.47607,99.1
37.69068,-122.47368,99.1
37.60264,-122.39615,78.1
37.58718,-122.02707,70.6
37.53547,-122.02932,84.9
37.9193,-121.68408,96.2
37.90141,-122.06136,94.6
38.09996,-122.24365,88.8
38.0043,-122.29063,78.7
37.55268,-121.96908,83.2
37.71444,-121.88387,84.9
37.29099,-121.88896,90.6
36.58984,-121.88032,99.9
37.49432,-122.23023,73.2
36.96814,-121.8683,99.9
37.76308,-122.42209,77.6
37.47312,-122.20549,87.4
37.74595,-122.45249,98.6
37.74373,-122.48142,96.2
37.35766,-121.91677,77.7
37.47275,-122.15507,89.7
37.60597,-122.06178,65.7
37.93545,-122.35966,85.8
37.9192,-122.32656,85.2
37.87365,-122.51299,85.7
37.65573,-122.05675,82.1
37.76745,-122.41499,77.4
36.5876,-121.85076,99.9
37.72571,-122.45027,99.3
37.34253,-121.84884,90.6
37.36119,-122.12546,98.6
