latitude,longitude,pointValue
37.769719,-122.383695,91.3
37.775825,-122.384987,91.3
37.774073,-122.382514,91.3
37.782893,-122.385198,94.8
37.907132,-122.372025,75.0
37.906081,-122.367108,75.0
37.906361,-122.364888,85.8
37.913301,-122.365438,72.1
37.908861,-122.364608,75.0
37.925801,-122.376278,72.1
37.925222,-122.37361,72.1
37.925251,-122.374608,72.1
37.921799,-122.368821,72.1
37.914691,-122.365718,72.1
37.916361,-122.365998,72.1
37.917471,-122.366278,72.1
37.919693,-122.364888,72.1
37.924421,-122.372658,72.1
37.922471,-122.369888,72.1
37.922866,-122.367804,72.1
37.921105,-122.366927,82.4
37.924165,-122.367207,72.1
37.918613,-122.362258,72.1
38.043435,-122.135495,95.2
38.04608,-122.129888,96.9
37.949995,-121.341657,99.4
38.557215,-121.573597,99.8
38.565555,-121.551097,99.8
38.566105,-121.551927,99.8
38.015958,-121.770373,96.9
38.018458,-121.763423,96.9
38.025287,-122.13823,91.3
38.026795,-122.130346,91.3
38.057215,-122.220267,91.3
38.581105,-121.505547,99.8
38.604715,-121.522767,99.8
37.958554,-122.425539,89.1
37.963055,-122.429427,89.1
37.923528,-122.411372,92.1
37.923031,-122.409048,92.1
37.909691,-122.387658,80.1
37.907828,-122.37337,75.0
37.781081,-122.249328,72.1
37.80945,-122.419034,96.9
37.808605,-122.418317,95.2
37.809995,-122.418317,96.9
37.810531,-122.418498,96.9
37.808605,-122.415547,96.9
37.809275,-122.413877,95.2
37.810413,-122.417403,95.2
37.809435,-122.411657,95.2
37.808885,-122.409707,95.2
37.809652,-122.406172,96.9
37.808489,-122.404259,96.9
37.807806,-122.402642,96.9
37.806979,-122.401332,96.9
37.806747,-122.401212,96.9
37.762775,-122.383877,94.8
37.764165,-122.383317,94.8
37.763995,-122.384052,94.8
37.764152,-122.382546,94.8
37.764208,-122.382,94.8
37.762199,-122.380167,91.3
37.733055,-122.374427,96.9
37.74069,-122.371819,91.3
37.742538,-122.373187,91.3
37.810537,-122.331624,86.6
37.810275,-122.325267,86.6
37.811935,-122.320817,92.1
37.814715,-122.317767,92.1
37.817215,-122.315547,92.1
37.821361,-122.318218,86.6
37.818883,-122.310817,80.1
37.821665,-122.309987,89.1
37.795801,-122.280718,80.1
37.796921,-122.280998,80.1
37.796641,-122.280438,80.1
37.794971,-122.278218,89.1
37.771641,-122.234048,81.2
38.598885,-121.540267,99.8
38.567215,-121.520267,99.8
38.568885,-121.518877,99.8
38.569995,-121.517767,99.8
38.573325,-121.513877,99.8
38.564715,-121.549427,99.8
38.562775,-121.546657,99.8
38.562215,-121.545547,99.8
38.563885,-121.548317,99.8
38.561665,-121.543877,99.8
38.561665,-121.541927,99.8
37.951935,-121.303317,99.4
37.951665,-121.302767,99.4
37.951385,-121.299987,99.4
37.947775,-121.334157,99.4
37.949165,-121.330817,99.4
37.949435,-121.328047,99.4
37.949165,-121.325547,99.4
37.948605,-121.324707,99.4
37.947495,-121.324157,99.4
37.949435,-121.324707,99.4
37.949715,-121.323047,99.4
37.949715,-121.321927,99.4
37.949995,-121.320817,99.4
37.949435,-121.318877,99.4
37.949165,-121.315267,99.4
38.068632,-122.231294,95.2
38.017495,-121.800817,98.5
38.014288,-121.785923,96.9
38.015128,-121.774533,96.9
37.775936,-122.240593,82.4
37.787191,-122.259048,75.0
37.777326,-122.241973,82.4
37.779995,-122.243317,82.4
37.772495,-122.235817,82.4
37.774435,-122.239157,82.4
37.806362,-122.33822,86.6
37.806921,-122.332658,86.6
37.798581,-122.322388,86.6
37.791105,-122.293877,89.1
37.791385,-122.291097,89.1
37.79125,-122.289523,89.1
37.791105,-122.286377,80.1
37.791935,-122.287207,89.1
37.794971,-122.300998,80.1
37.795848,-122.293475,80.1
37.795531,-122.292388,80.1
37.796641,-122.290158,80.1
37.796337,-122.284888,80.1
37.763325,-122.222767,82.4
38.090555,-122.252767,94.8
37.504995,-122.218597,92.1
37.504435,-122.215267,86.6
37.506935,-122.212207,92.1
37.509435,-122.211927,92.1
37.513031,-122.211828,86.6
37.515063,-122.211038,86.6
37.808518,-122.420814,96.9
37.78491,-122.385758,91.3
37.787236,-122.385145,91.3
37.789728,-122.385705,94.8
37.790275,-122.387767,95.2
37.791603,-122.386898,96.9
37.790438,-122.386855,94.8
37.79787,-122.393338,96.9
37.795825,-122.391927,95.2
37.796105,-122.391657,96.9
37.80437,-122.398686,96.9
37.804165,-122.398597,96.9
37.80199,-122.396626,95.2
37.803594,-122.397936,96.9
37.517961,-122.202874,92.1
37.749284,-122.38508,91.3
37.747215,-122.379987,94.8
37.751725,-122.381003,91.3
38.10136,-122.263498,94.8
37.910801,-122.360718,82.4
37.916822,-122.361441,82.4
37.914511,-122.361299,82.4
38.040945,-121.887738,96.9
38.034111,-121.877341,96.9
38.029919,-121.861628,95.2
38.029602,-121.86018,95.2
38.02834,-121.849605,95.2
38.031843,-122.120898,93.9
38.032403,-122.120338,93.9
38.041193,-122.100538,93.9
38.043127,-122.153878,96.9
38.056856,-122.262121,92.1
38.058055,-122.244987,94.8
38.057968,-122.241455,91.3
38.044313,-122.090454,96.6
38.044593,-122.090454,96.6
38.026567,-122.16302,94.8
37.834691,-122.477938,98.5
