latitude,longitude,pointValue
38.262662,-121.927487,99.4
38.377773,-121.96157,99.8
38.392356,-121.330737,99.8
37.828439,-121.62582,96.9
38.213189,-122.280681,99.4
38.193384,-121.703626,99.4
37.989662,-122.056876,93.9
37.625812,-120.954408,99.8
38.443245,-121.508848,99.8
38.531456,-121.786465,99.8
38.579067,-121.856619,99.9
38.673871,-121.872064,99.9
37.75634,-120.800196,99.8
37.081581,-121.596793,96.9
37.894162,-121.238293,99.4
38.202412,-121.268404,99.8
38.067352,-121.207583,99.8
37.688995,-121.441598,96.9
36.89334,-121.410258,94.8
38.512523,-121.493459,99.9
38.695412,-121.590765,99.8
38.674995,-121.445431,99.9
37.693384,-121.820348,72.2
38.508972,-122.812867,99.8
38.667634,-121.400598,99.9
38.486773,-121.102765,99.9
38.555259,-121.297237,99.9
37.721273,-122.220709,77.0
38.257827,-122.605527,99.8
38.776014,-122.992625,99.9
37.380475,-120.568176,99.9
37.284724,-120.513873,99.8
37.062901,-120.869238,99.4
36.935717,-121.789626,99.4
37.461106,-122.115042,80.1
37.51185,-122.249511,86.6
37.332856,-121.819793,88.5
37.416136,-122.049126,90.3
36.662773,-121.606348,99.8
36.586995,-121.842931,99.9
36.681873,-121.762335,99.8
37.618967,-122.374876,91.3
37.513439,-122.501154,96.9
37.362662,-121.929098,86.5
37.658912,-122.121737,69.4
38.143606,-122.556087,98.5
36.81913,-121.38788,98.5
37.29531,-120.52046,99.8
37.29531,-120.52046,99.8
37.68411,-121.76724,81.2
37.69024,-121.8005,81.2
37.69024,-121.8005,81.2
37.95866,-122.50894,95.2
38.01229,-121.793,98.5
38.24128,-122.62277,99.8
38.29983,-122.2881,99.4
38.53988,-121.75205,99.8
38.54371,-121.73856,99.8
37.79754,-122.47298,98.5
38.67866,-121.7541,99.8
38.25573,-121.29572,99.8
36.21115,-121.12688,99.9
36.66553,-121.62864,99.8
36.97041,-122.02509,99.4
37.39931,-121.93772,80.1
37.39931,-121.93772,80.1
37.64728,-121.02413,99.4
37.69233,-122.17331,57.6
37.78273,-122.41491,96.9
37.78314,-122.43401,96.9
37.797,-122.2656,84.9
37.797,-122.2656,84.9
37.79733,-122.26669,88.5
37.79733,-122.26669,88.5
37.80554,-122.26897,88.5
37.95991,-121.2722,99.4
38.00457,-122.31197,59.4
38.00457,-122.31197,59.4
38.13381,-121.27224,99.4
38.2481,-122.04364,99.4
38.39444,-122.72459,99.8
38.43815,-122.7124,99.8
38.51459,-121.38466,99.9
38.56895,-121.46988,99.9
38.67866,-121.7541,99.8
37.64144,-121.0041,99.4
37.797,-122.4717,98.5
38.68212,-121.75987,99.8
38.6761,-121.765,99.8
36.5069,-121.4431,99.9
37.7397,-121.4378,96.9
38.2322,-122.6375,99.8
37.0097,-121.5703,92.1
36.9714,-122.0236,99.4
36.58404,-121.82887,99.8
37.59862,-122.08154,60.3
37.90456,-122.06756,82.4
37.5062,-122.26169,94.7
37.5062,-122.26169,94.7
37.90896,-122.05872,85.8
38.00528,-122.11077,96.9
38.34688,-122.51518,99.9
37.88661,-121.28237,99.9
38.12144,-121.28619,99.9
37.74427,-121.4346,99.6
38.46452,-121.41711,100.0
38.44177,-122.70159,99.9
38.47138,-122.72586,100.0
38.6814,-121.15918,100.0
37.31221,-120.4781,100.0
37.69227,-121.88095,86.8
37.78249,-122.44306,99.6
37.36903,-122.08028,91.5
37.7761,-121.95892,96.2
37.70817,-122.11985,85.3
36.20669,-121.13245,100.0
37.3113,-121.91503,91.8
37.78959,-122.41674,96.8
37.66862,-120.97453,99.9
37.62533,-121.76283,97.7
37.29381,-120.4734,100.0
38.3972,-122.81915,100.0
38.11854,-122.24892,89.0
38.56248,-121.77156,100.0
37.82448,-122.25773,88.2
36.92723,-121.79311,99.9
37.03653,-121.57152,94.6
37.79826,-121.2462,99.9
38.54221,-122.47514,100.0
37.63062,-122.09502,85.9
37.83716,-122.26706,88.7
37.85618,-122.2573,94.8
37.79884,-122.23093,92.6
37.79066,-122.2222,87.7
38.26972,-121.96382,99.9
38.35591,-121.95173,99.9
37.51153,-120.83867,99.9
38.47025,-121.42259,100.0
38.46355,-121.41647,100.0
38.57189,-121.46925,100.0
38.57011,-121.45246,100.0
38.55508,-121.45646,100.0
38.55291,-121.4555,100.0
38.44325,-122.70104,99.9
38.13116,-122.23739,99.8
37.66494,-120.99743,99.9
37.64342,-120.99065,99.9
37.666,-120.92179,99.9
38.66428,-121.79301,100.0
37.75761,-120.86094,99.9
37.66399,-120.95813,99.9
38.28817,-122.4652,99.9
38.25473,-122.63168,99.9
38.44139,-122.66301,100.0
37.97657,-121.29114,99.9
38.32371,-122.29648,99.9
38.12683,-122.24721,99.0
38.57134,-121.43894,100.0
38.54994,-121.41458,100.0
38.60255,-121.39258,100.0
38.64407,-121.3643,100.0
38.66833,-121.3127,100.0
38.67033,-121.14587,100.0
38.57266,-121.29672,100.0
36.65888,-121.64606,99.9
38.27883,-122.27342,99.9
37.0641,-120.85915,99.9
36.98703,-120.62951,99.9
38.46856,-122.70811,100.0
38.45039,-122.77181,99.9
38.62701,-122.86429,100.0
37.78464,-122.43938,96.7
37.77384,-122.45412,99.5
37.86398,-122.26956,93.8
36.98935,-121.98438,99.9
36.98775,-121.97781,99.9
36.69633,-121.63066,99.9
37.79543,-122.40914,77.9
37.82108,-122.26324,94.8
37.69991,-122.08812,89.5
37.69832,-122.08769,89.5
37.70945,-122.12146,85.3
37.71082,-122.1206,94.8
37.71602,-122.13081,94.4
37.67889,-122.10399,84.0
37.4076,-121.93488,74.3
38.00448,-122.55436,99.9
37.95864,-122.55209,89.0
37.94738,-122.53592,85.9
38.26161,-122.04755,99.9
37.32789,-121.93799,91.7
37.96166,-121.30103,99.9
37.97041,-121.28835,99.9
37.80137,-121.19782,99.9
37.63373,-122.08924,85.3
38.33301,-121.97979,99.9
36.83479,-121.38631,99.9
37.95372,-122.33729,85.9
37.25137,-121.94683,98.8
37.26222,-121.96986,98.8
37.55751,-121.98065,87.7
37.31284,-121.93217,91.7
37.33995,-121.9779,91.7
37.23954,-121.80049,92.1
37.46178,-122.15929,91.7
37.40322,-122.14183,99.5
37.98255,-121.8052,96.8
37.98421,-122.03469,98.7
37.54663,-121.97951,92.2
37.55184,-121.97712,92.6
37.76309,-122.2542,98.6
37.53133,-122.29936,99.0
37.78656,-122.4546,96.7
37.78654,-122.45611,96.7
37.79138,-122.43125,99.7
37.5914,-122.38394,99.5
37.48934,-122.22471,74.3
37.27291,-121.99621,97.9
37.43659,-122.17474,91.7
37.67984,-122.47443,99.8
37.52627,-122.50726,99.8
36.97438,-121.99529,99.9
37.74781,-122.42066,99.7
36.57962,-121.91513,100.0
37.47373,-122.28598,83.7
37.93711,-122.36088,88.2
38.0993,-122.56022,94.5
37.36257,-121.84891,89.4
37.47987,-122.25459,99.5
37.65907,-122.4391,99.7
37.9133,-122.04125,98.6
37.89165,-122.05873,78.0
38.00668,-122.13276,99.7
37.76294,-122.45825,96.6
37.7684,-122.43428,99.6
37.75548,-122.40444,99.7
37.74772,-122.4567,99.7
37.78231,-122.50507,99.8
37.7142,-122.14182,84.9
37.46463,-122.15788,91.5
37.43303,-122.17742,91.7
37.24469,-121.94799,98.8
37.56511,-122.32627,91.8
37.59289,-120.95456,99.9
36.68242,-121.80345,99.9
37.93784,-122.34308,77.2
38.56445,-121.31451,99.9
38.5891,-121.3016,99.9
37.35076,-121.90492,85.0
37.6328,-122.49004,98.8
37.37061,-122.0388,86.2
37.62528,-122.41437,97.1
37.45381,-122.17619,89.0
37.795732,-122.278944,80.1
37.790768,-122.29836,85.8
37.943633,-122.506967,96.6
37.945526,-122.509201,95.2
37.868808,-122.433536,94.8
37.872901,-122.454883,95.2
38.187638,-121.661464,99.4
38.186768,-121.658096,99.4
38.236396,-121.603224,99.4
37.920576,-121.51476,98.5
37.919268,-121.51676,98.5
38.060208,-121.498216,98.5
38.060288,-121.500896,98.5
38.236416,-121.600816,99.4
38.055008,-121.65748,98.5
38.056812,-121.644672,98.5
38.05836,-121.648712,98.5
37.809608,-122.419242,96.9
37.809648,-122.411952,95.2
37.737589,-122.254912,75.0
37.796052,-122.391936,96.9
37.826324,-122.421077,96.9
38.101488,-122.261816,91.3
37.91164,-122.35708,72.1
37.857416,-122.478112,95.2
37.30192,-120.56,99.9
37.29036,-121.76383,98.8
38.13138,-121.25819,99.9
38.16162,-121.61261,99.4
38.59603,-121.42754,99.9
36.48159,-121.73152,99.9
37.80795,-122.27526,86.4
37.47061,-121.13161,99.7
37.44933,-120.92331,99.9
38.2201,-122.267,99.7
37.70006,-121.02298,99.8
37.31536,-121.77447,89.7
38.13767,-121.30609,99.8
37.32523,-121.89551,91.3
38.41886,-122.75407,99.9
38.18812,-122.60057,99.9
37.23273,-121.7718,93.9
38.52224,-121.96983,99.9
38.42795,-122.96053,99.9
38.37896,-122.83597,99.9
38.46622,-122.99981,99.9
38.61996,-122.67536,99.9
36.97927,-122.0122,99.8
36.90766,-121.75719,99.8
36.93344,-121.78551,99.9
37.05102,-122.07369,99.9
37.06654,-122.00581,99.7
37.0485,-122.01977,99.7
37.68766,-122.4,77.7
37.59095,-122.36729,73.6
37.56014,-122.34565,99.1
37.54876,-122.32429,98.1
37.45716,-122.26837,98.6
37.48455,-122.20058,77.7
38.23344,-122.6366,99.9
38.28062,-122.7051,99.9
38.24125,-122.67049,99.9
38.653,-122.87295,99.9
36.97326,-122.02873,99.8
37.12584,-122.12223,99.8
37.06608,-122.05707,99.8
37.46829,-122.14109,87.4
37.4532,-122.18562,90.6
37.50239,-122.47117,96.6
37.77494,-122.42134,96.4
37.8095,-121.99288,79.4
37.77135,-121.99472,76.2
37.82508,-122.27612,86.9
37.83979,-122.19786,87.4
37.80291,-122.23037,88.4
37.77757,-122.22825,84.5
37.76957,-122.17356,76.2
37.78453,-122.30297,72.3
38.24678,-122.0449,99.6
38.58751,-121.27097,99.9
37.52859,-120.79353,99.9
37.6611,-121.7845,89.2
38.17169,-122.2563,99.6
37.91618,-122.3115,83.7
37.99665,-121.7131,96.4
38.01095,-121.8109,99.3
38.00964,-121.88625,98.8
38.02708,-121.94812,98.8
38.01064,-122.11818,99.3
37.6218,-121.02719,99.8
37.78619,-121.23383,99.6
38.29665,-122.29084,99.8
38.05612,-122.21771,93.6
38.01287,-122.13429,83.1
38.01441,-121.91979,99.3
36.76809,-121.757,99.9
35.86352,-120.80235,100.0
36.68255,-121.80326,99.9
36.8517,-121.40028,99.8
36.5716,-121.18536,99.9
36.84318,-121.36265,99.8
36.6192,-121.91953,99.9
37.81903,-122.25285,89.6
37.77203,-122.20662,82.4
37.78955,-122.1497,89.4
37.67423,-121.77364,84.5
38.57809,-122.57829,99.9
36.32482,-121.23692,100.0
36.20592,-121.13098,100.0
37.51979,-120.43735,99.9
37.45232,-120.70088,99.9
37.43035,-120.77805,99.9
37.32821,-120.8508,99.9
37.38684,-120.61387,99.9
37.34507,-120.60312,99.9
38.50693,-122.4713,99.9
37.32491,-120.44397,99.9
37.29087,-120.48621,99.9
37.09369,-121.01959,99.9
37.06201,-120.84819,99.9
37.06032,-120.8632,99.9
37.06603,-120.84298,99.9
36.9855,-120.62815,99.9
37.69183,-122.16984,66.2
37.68823,-122.14018,70.6
37.8518,-122.02341,74.4
37.87533,-122.07204,85.2
37.87071,-122.09818,84.5
37.85625,-122.12411,76.8
37.80062,-121.78232,96.0
37.89973,-121.86096,73.6
37.78093,-121.86309,84.5
37.69237,-121.87801,81.3
37.68003,-121.69852,94.9
37.71732,-121.72684,93.9
37.69575,-121.8124,82.4
37.68869,-121.78371,83.7
37.68025,-121.73943,93.0
36.87933,-121.64097,99.9
37.83465,-121.97864,73.9
37.80366,-121.92315,74.4
37.85988,-122.16266,95.3
37.83681,-122.26138,85.8
37.48488,-121.92589,85.9
37.77402,-122.2548,85.8
37.7765,-122.27783,87.4
37.76812,-121.95515,70.6
37.83515,-122.1309,75.1
37.81559,-122.26635,85.8
37.7856,-122.19752,79.4
37.75139,-122.1231,88.3
37.74483,-122.17027,78.7
37.71352,-122.09871,79.4
37.69714,-122.08048,69.3
37.7986,-122.2685,86.4
37.82352,-122.2034,87.4
37.75904,-122.19765,73.9
37.83677,-122.30329,98.1
37.84412,-122.29094,78.1
37.70892,-122.18159,81.3
37.6799,-122.12603,78.7
37.67488,-122.10782,75.2
37.81075,-122.29267,87.4
37.79,-122.24784,90.3
37.75142,-122.15603,83.6
37.76256,-122.24369,85.8
37.73766,-122.25248,71.0
37.70948,-122.09139,59.9
37.80915,-122.19136,87.4
37.90352,-121.60183,99.1
37.9973,-121.83773,99.1
37.98397,-121.76425,99.1
37.98595,-122.12076,88.6
37.98331,-122.06906,98.1
37.9437,-122.06438,95.5
37.97703,-122.03245,97.4
37.93787,-122.02723,95.0
37.94513,-121.98412,98.1
37.94209,-121.93067,87.9
37.89505,-122.15196,86.4
37.89858,-122.17178,96.5
37.88385,-122.19019,95.3
38.00426,-122.26209,94.6
37.90622,-122.27871,92.4
37.96087,-122.34217,76.2
38.33635,-122.70324,99.9
38.70583,-122.9036,100.0
36.97436,-121.95371,99.8
36.98867,-121.95665,99.8
37.14589,-122.15812,99.8
36.99105,-121.97883,99.8
38.09768,-122.5656,94.3
38.05056,-122.52754,96.6
38.02758,-122.55249,94.1
37.9854,-122.59096,99.8
37.99179,-122.57606,99.6
37.97643,-122.56404,94.1
37.95611,-122.54748,99.3
37.94505,-122.5206,85.7
37.93453,-122.53531,99.6
37.92582,-122.52676,99.5
37.91975,-122.5067,77.6
37.89059,-122.50637,99.4
37.08974,-122.08874,99.8
36.96798,-121.98453,99.8
37.86065,-122.29329,94.1
37.55273,-120.91124,99.9
37.47061,-121.13161,99.7
37.46406,-121.16261,99.7
37.39282,-121.07273,99.7
37.49757,-120.99504,99.9
37.48659,-120.86786,99.9
37.50001,-120.8566,99.9
37.49514,-120.84012,99.9
37.52218,-120.84291,99.9
37.51897,-120.86688,99.9
36.61979,-121.68692,99.9
36.57183,-121.51789,99.9
36.4279,-121.32759,100.0
36.24183,-121.43849,100.0
36.21129,-121.12763,100.0
37.38485,-120.72282,99.9
37.40304,-120.85067,99.9
37.42166,-120.66804,99.9
37.1341,-120.49253,99.9
37.25646,-121.00216,99.8
37.04678,-120.63636,99.9
37.64752,-122.08649,71.5
37.62515,-122.09209,70.6
37.57619,-121.68807,95.0
37.00271,-121.5607,89.4
37.87318,-122.26929,89.9
37.86071,-122.26736,92.5
37.85831,-122.25252,91.9
37.34127,-121.91673,89.7
37.33875,-121.89489,90.6
37.28549,-121.9358,92.9
37.40204,-121.87892,86.4
37.4255,-122.07766,77.2
37.40759,-121.9955,77.7
37.39454,-121.95008,77.7
37.34537,-121.99249,95.5
37.35209,-121.94202,87.4
37.33024,-121.96204,90.6
37.29801,-122.04167,97.4
37.30149,-122.02327,92.9
37.3565,-122.01374,93.9
37.39451,-122.08342,89.1
37.38466,-122.11371,97.4
37.44335,-122.14013,90.2
37.2674,-121.86632,93.3
37.24186,-121.83094,82.9
37.27298,-121.82893,90.2
36.58948,-121.94479,99.9
37.81176,-122.04246,76.2
37.01121,-121.62754,94.5
37.14137,-121.66305,99.6
37.13835,-121.61486,99.7
37.01727,-121.58697,99.0
37.01274,-121.34751,89.1
37.32311,-121.66915,99.1
37.39365,-121.49058,99.5
37.98124,-122.26804,83.2
37.92613,-122.3854,96.0
37.94814,-122.36493,74.4
37.66996,-120.99546,99.9
37.64954,-120.95766,99.9
37.63152,-121.00447,99.9
37.60059,-120.99518,99.9
37.59194,-120.9549,99.9
37.64179,-120.76128,99.9
37.66352,-120.91981,99.9
37.59752,-120.86577,99.9
